"REF_DATE","GEO","DGUID","Sector","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","6859819","","","","0"
"2019-02","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","6977814","","","","0"
"2019-03","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7078100","","","","0"
"2019-04","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7061131","","","","0"
"2019-05","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7295633","","","","0"
"2019-06","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7504211","","","","0"
"2019-07","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7527571","","","","0"
"2019-08","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7601194","","","","0"
"2019-09","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7569223","","","","0"
"2019-10","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7597764","","","","0"
"2019-11","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7545114","","","","0"
"2019-12","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7877991","","","","0"
"2020-01","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7229691","","","","0"
"2020-02","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7288510","","","","0"
"2020-03","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","6673825","","","","0"
"2020-04","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","6121751","","","","0"
"2020-05","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","6281958","","","","0"
"2020-06","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7092800","","","","0"
"2020-07","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7371339","","","","0"
"2020-08","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7506064","","","","0"
"2020-09","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7692595","","","","0"
"2020-10","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7616466","","","","0"
"2020-11","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7535884","","","","0"
"2020-12","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7824244","","","","0"
"2021-01","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7225528","","","","0"
"2021-02","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7271700","","","","0"
"2021-03","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7377906","","","","0"
"2021-04","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7428906","","","","0"
"2021-05","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7638355","","","","0"
"2021-06","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7996102","","","","0"
"2021-07","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8042715","","","","0"
"2021-08","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8049352","","","","0"
"2021-09","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7959680","","","","0"
"2021-10","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8050173","","","","0"
"2021-11","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8166383","","","","0"
"2021-12","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8407851","","","","0"
"2022-01","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","7790994","","","","0"
"2022-02","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8177698","","","","0"
"2022-03","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8325239","","","","0"
"2022-04","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8371465","","","","0"
"2022-05","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8308737","","","","0"
"2022-06","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","9054991","","","","0"
"2022-07","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8911538","","","","0"
"2022-08","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8808042","","","","0"
"2022-09","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8784164","","","","0"
"2022-10","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8632608","","","","0"
"2022-11","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8719816","","","","0"
"2022-12","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","9051739","","","","0"
"2023-01","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8436219","","","","0"
"2023-02","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8588682","","","","0"
"2023-03","Ontario","2016A000235","All goods-producing industries","Unadjusted","Dollars","81","thousands","3","v1996636","7.3.1","8638820","","","","0"
"2018-01","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","150038","","","","0"
"2018-02","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","155680","","","","0"
"2018-03","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","178919","","","","0"
"2018-04","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","184724","","","","0"
"2018-05","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","227908","","","","0"
"2018-06","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","258935","","","","0"
"2018-07","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","258966","","","","0"
"2018-08","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","274512","","","","0"
"2018-09","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","267479","","","","0"
"2018-10","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","258160","","","","0"
"2018-11","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","225372","","","","0"
"2018-12","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","253900","","","","0"
"2019-01","Ontario","2016A000235","Agriculture, forestry, fishing and hunting","Unadjusted","Dollars","81","thousands","3","v1996637","7.4.1","166258","","","","0"
